Step,AgentID,physiological,safety,belonging,esteem,wealth,actions,status
0,0,"[0.6649959787669328, 0.6535668987985207, 0.7435537750919684, 0.6]","[0.6, 0.8, 0.711787099715443, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.8, 0.8]",833.05,,retired
0,1,"[0.8, 0.8, 0.6, 0.8]","[0.8, 0.8, 0.8, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.6, 0.6434642270846359]",500.0,,homeless
0,2,"[0.6, 0.612085096526863, 0.8, 0.6]","[0.8, 0.6, 0.8, 0.8]","[0.6, 0.8, 0.8]","[0.8, 0.6, 0.6066691222374816]",1700.0,,student
0,3,"[0.8, 0.6013952656260126, 0.8, 0.6]","[0.6, 0.6, 0.8, 0.8]","[0.6, 0.6, 0.6]","[0.8, 0.6, 0.8]",1937.1666666666667,,unemployed
0,4,"[0.6661276310328147, 0.8, 0.6, 0.6192749805693563]","[0.8, 0.6, 0.6, 0.6]","[0.8, 0.8, 0.8]","[0.8, 0.6, 0.8]",4478.358333333333,,employed
1,0,"[0.6649959787669328, 0.6535668987985207, 0.7435537750919684, 0.6]","[0.6, 0.8, 0.711787099715443, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.8, 0.8]",833.05,,retired
1,1,"[0.8, 0.8, 0.6, 0.8]","[0.8, 0.8, 0.8, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.6, 0.6434642270846359]",500.0,,homeless
1,2,"[0.6, 0.612085096526863, 0.8, 0.6]","[0.8, 0.6, 0.8, 1.0]","[0.6, 0.8, 0.8]","[0.8, 0.6, 0.6066691222374816]",1700.0,,student
1,3,"[0.8, 0.6013952656260126, 0.8, 0.6]","[0.6, 0.6, 0.8, 0.8]","[0.6, 0.6, 0.6]","[0.8, 0.6, 0.8]",1937.1666666666667,,unemployed
1,4,"[0.6661276310328147, 0.8, 0.6, 0.6192749805693563]","[0.8, 0.8999999999999999, 0.8999999999999999, 0.6]","[0.8, 0.8, 0.8]","[0.8, 1.0, 0.8]",4478.358333333333,,employed
