"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Import_Euros"
2019,1,"Ciutat Vella",1,"el Raval",1,10928
2019,1,"Ciutat Vella",1,"el Raval",2,8783
2019,1,"Ciutat Vella",1,"el Raval",3,8813
2019,1,"Ciutat Vella",1,"el Raval",4,10694
2019,1,"Ciutat Vella",1,"el Raval",5,9196
2019,1,"Ciutat Vella",1,"el Raval",6,10558
2019,1,"Ciutat Vella",1,"el Raval",7,9323
2019,1,"Ciutat Vella",1,"el Raval",8,7751
2019,1,"Ciutat Vella",1,"el Raval",9,9643
2019,1,"Ciutat Vella",1,"el Raval",10,8015
2019,1,"Ciutat Vella",1,"el Raval",11,7950
2019,1,"Ciutat Vella",1,"el Raval",12,10021
2019,1,"Ciutat Vella",1,"el Raval",13,10736
2019,1,"Ciutat Vella",1,"el Raval",14,9483
2019,1,"Ciutat Vella",1,"el Raval",15,9840
2019,1,"Ciutat Vella",1,"el Raval",16,9845
2019,1,"Ciutat Vella",1,"el Raval",17,9108
2019,1,"Ciutat Vella",1,"el Raval",18,9488
2019,1,"Ciutat Vella",1,"el Raval",19,9591
2019,1,"Ciutat Vella",1,"el Raval",20,14766
2019,1,"Ciutat Vella",1,"el Raval",21,13643
2019,1,"Ciutat Vella",2,"el Gòtic",22,17640
2019,1,"Ciutat Vella",2,"el Gòtic",23,14500
2019,1,"Ciutat Vella",2,"el Gòtic",25,13328
2019,1,"Ciutat Vella",2,"el Gòtic",26,13691
2019,1,"Ciutat Vella",2,"el Gòtic",27,12411
2019,1,"Ciutat Vella",2,"el Gòtic",28,12606
2019,1,"Ciutat Vella",2,"el Gòtic",29,10936
2019,1,"Ciutat Vella",2,"el Gòtic",30,11198
2019,1,"Ciutat Vella",2,"el Gòtic",31,11265
2019,1,"Ciutat Vella",3,"la Barceloneta",32,14474
2019,1,"Ciutat Vella",3,"la Barceloneta",33,12109
2019,1,"Ciutat Vella",3,"la Barceloneta",34,12137
2019,1,"Ciutat Vella",3,"la Barceloneta",35,11785
2019,1,"Ciutat Vella",3,"la Barceloneta",36,13071
2019,1,"Ciutat Vella",3,"la Barceloneta",37,12556
2019,1,"Ciutat Vella",3,"la Barceloneta",38,11725
2019,1,"Ciutat Vella",3,"la Barceloneta",39,12325
2019,1,"Ciutat Vella",3,"la Barceloneta",40,13296
2019,1,"Ciutat Vella",3,"la Barceloneta",41,11300
2019,1,"Ciutat Vella",3,"la Barceloneta",42,12915
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,17049
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,17041
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,13631
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,12613
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,12513
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,9785
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,13835
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,12728
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,10969
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,17714
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,12090
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,13456
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,16024
2019,2,"Eixample",5,"el Fort Pienc",1,17566
2019,2,"Eixample",5,"el Fort Pienc",2,17740
2019,2,"Eixample",5,"el Fort Pienc",3,18337
2019,2,"Eixample",5,"el Fort Pienc",4,14978
2019,2,"Eixample",5,"el Fort Pienc",5,18983
2019,2,"Eixample",5,"el Fort Pienc",6,19796
2019,2,"Eixample",5,"el Fort Pienc",7,19992
2019,2,"Eixample",5,"el Fort Pienc",8,18416
2019,2,"Eixample",5,"el Fort Pienc",9,17889
2019,2,"Eixample",5,"el Fort Pienc",10,16417
2019,2,"Eixample",5,"el Fort Pienc",11,18183
2019,2,"Eixample",5,"el Fort Pienc",12,14662
2019,2,"Eixample",5,"el Fort Pienc",13,15363
2019,2,"Eixample",5,"el Fort Pienc",14,14580
2019,2,"Eixample",5,"el Fort Pienc",15,15095
2019,2,"Eixample",5,"el Fort Pienc",16,18640
2019,2,"Eixample",5,"el Fort Pienc",17,19109
2019,2,"Eixample",5,"el Fort Pienc",18,19581
2019,2,"Eixample",5,"el Fort Pienc",19,17310
2019,2,"Eixample",5,"el Fort Pienc",20,15658
2019,2,"Eixample",6,"la Sagrada Família",21,17300
2019,2,"Eixample",6,"la Sagrada Família",22,16639
2019,2,"Eixample",6,"la Sagrada Família",23,17581
2019,2,"Eixample",6,"la Sagrada Família",24,15931
2019,2,"Eixample",6,"la Sagrada Família",25,16097
