"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dones","0 anys",189
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","0 anys",58
2020,1,"Ciutat Vella",3,"la Barceloneta","Dones","0 anys",36
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","0 anys",57
2020,2,"Eixample",5,"el Fort Pienc","Dones","0 anys",99
2020,2,"Eixample",6,"la Sagrada Família","Dones","0 anys",178
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dones","0 anys",150
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","0 anys",126
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","0 anys",210
2020,2,"Eixample",10,"Sant Antoni","Dones","0 anys",118
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","0 anys",128
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","0 anys",7
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","0 anys",111
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","0 anys",27
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","0 anys",66
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dones","0 anys",79
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","0 anys",89
2020,3,"Sants-Montjuïc",18,"Sants","Dones","0 anys",169
2020,4,"Les Corts",19,"les Corts","Dones","0 anys",160
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","0 anys",68
2020,4,"Les Corts",21,"Pedralbes","Dones","0 anys",39
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","0 anys",21
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","0 anys",98
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","0 anys",71
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","0 anys",83
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","0 anys",209
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","0 anys",116
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","0 anys",55
2020,6,"Gràcia",29,"el Coll","Dones","0 anys",25
2020,6,"Gràcia",30,"la Salut","Dones","0 anys",57
2020,6,"Gràcia",31,"la Vila de Gràcia","Dones","0 anys",224
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","0 anys",134
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","0 anys",79
2020,7,"Horta-Guinardó",34,"Can Baró","Dones","0 anys",36
2020,7,"Horta-Guinardó",35,"el Guinardó","Dones","0 anys",128
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","0 anys",28
2020,7,"Horta-Guinardó",37,"el Carmel","Dones","0 anys",112
2020,7,"Horta-Guinardó",38,"la Teixonera","Dones","0 anys",34
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","0 anys",29
2020,7,"Horta-Guinardó",40,"Montbau","Dones","0 anys",24
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","0 anys",20
2020,7,"Horta-Guinardó",42,"la Clota","Dones","0 anys",6
2020,7,"Horta-Guinardó",43,"Horta","Dones","0 anys",94
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","0 anys",77
2020,8,"Nou Barris",45,"Porta","Dones","0 anys",95
2020,8,"Nou Barris",46,"el Turó de la Peira","Dones","0 anys",75
2020,8,"Nou Barris",47,"Can Peguera","Dones","0 anys",6
2020,8,"Nou Barris",48,"la Guineueta","Dones","0 anys",49
2020,8,"Nou Barris",49,"Canyelles","Dones","0 anys",16
2020,8,"Nou Barris",50,"les Roquetes","Dones","0 anys",61
2020,8,"Nou Barris",51,"Verdun","Dones","0 anys",41
2020,8,"Nou Barris",52,"la Prosperitat","Dones","0 anys",100
2020,8,"Nou Barris",53,"la Trinitat Nova","Dones","0 anys",29
2020,8,"Nou Barris",54,"Torre Baró","Dones","0 anys",10
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dones","0 anys",58
2020,8,"Nou Barris",56,"Vallbona","Dones","0 anys",7
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dones","0 anys",52
2020,9,"Sant Andreu",58,"Baró de Viver","Dones","0 anys",11
2020,9,"Sant Andreu",59,"el Bon Pastor","Dones","0 anys",46
2020,9,"Sant Andreu",60,"Sant Andreu","Dones","0 anys",182
2020,9,"Sant Andreu",61,"la Sagrera","Dones","0 anys",106
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","0 anys",57
2020,9,"Sant Andreu",63,"Navas","Dones","0 anys",80
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","0 anys",106
2020,10,"Sant Martí",65,"el Clot","Dones","0 anys",79
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","0 anys",58
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","0 anys",20
2020,10,"Sant Martí",68,"el Poblenou","Dones","0 anys",128
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","0 anys",79
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","0 anys",117
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dones","0 anys",83
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","0 anys",89
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dones","0 anys",79
2020,1,"Ciutat Vella",1,"el Raval","Dones","1 any",216
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","1 any",52
2020,1,"Ciutat Vella",3,"la Barceloneta","Dones","1 any",37
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","1 any",65
2020,2,"Eixample",5,"el Fort Pienc","Dones","1 any",144
2020,2,"Eixample",6,"la Sagrada Família","Dones","1 any",169
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dones","1 any",171
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","1 any",152
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","1 any",200
2020,2,"Eixample",10,"Sant Antoni","Dones","1 any",153
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","1 any",147
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","1 any",3
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","1 any",108
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","1 any",32
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","1 any",75
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dones","1 any",67
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","1 any",106
2020,3,"Sants-Montjuïc",18,"Sants","Dones","1 any",138
2020,4,"Les Corts",19,"les Corts","Dones","1 any",173
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","1 any",87
2020,4,"Les Corts",21,"Pedralbes","Dones","1 any",34
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","1 any",15
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","1 any",119
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","1 any",56
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","1 any",95
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","1 any",192
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","1 any",101
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","1 any",69
2020,6,"Gràcia",29,"el Coll","Dones","1 any",29
2020,6,"Gràcia",30,"la Salut","Dones","1 any",55
2020,6,"Gràcia",31,"la Vila de Gràcia","Dones","1 any",229
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","1 any",139
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","1 any",101
2020,7,"Horta-Guinardó",34,"Can Baró","Dones","1 any",37
2020,7,"Horta-Guinardó",35,"el Guinardó","Dones","1 any",144
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","1 any",38
2020,7,"Horta-Guinardó",37,"el Carmel","Dones","1 any",139
2020,7,"Horta-Guinardó",38,"la Teixonera","Dones","1 any",44
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","1 any",25
2020,7,"Horta-Guinardó",40,"Montbau","Dones","1 any",18
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","1 any",28
2020,7,"Horta-Guinardó",42,"la Clota","Dones","1 any",6
2020,7,"Horta-Guinardó",43,"Horta","Dones","1 any",109
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","1 any",90
2020,8,"Nou Barris",45,"Porta","Dones","1 any",96
2020,8,"Nou Barris",46,"el Turó de la Peira","Dones","1 any",72
2020,8,"Nou Barris",47,"Can Peguera","Dones","1 any",9
2020,8,"Nou Barris",48,"la Guineueta","Dones","1 any",40
2020,8,"Nou Barris",49,"Canyelles","Dones","1 any",15
2020,8,"Nou Barris",50,"les Roquetes","Dones","1 any",88
2020,8,"Nou Barris",51,"Verdun","Dones","1 any",43
2020,8,"Nou Barris",52,"la Prosperitat","Dones","1 any",90
2020,8,"Nou Barris",53,"la Trinitat Nova","Dones","1 any",25
2020,8,"Nou Barris",54,"Torre Baró","Dones","1 any",12
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dones","1 any",50
2020,8,"Nou Barris",56,"Vallbona","Dones","1 any",6
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dones","1 any",62
2020,9,"Sant Andreu",58,"Baró de Viver","Dones","1 any",11
2020,9,"Sant Andreu",59,"el Bon Pastor","Dones","1 any",73
2020,9,"Sant Andreu",60,"Sant Andreu","Dones","1 any",222
2020,9,"Sant Andreu",61,"la Sagrera","Dones","1 any",92
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","1 any",46
2020,9,"Sant Andreu",63,"Navas","Dones","1 any",74
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","1 any",147
2020,10,"Sant Martí",65,"el Clot","Dones","1 any",91
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","1 any",66
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","1 any",35
2020,10,"Sant Martí",68,"el Poblenou","Dones","1 any",155
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","1 any",72
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","1 any",129
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dones","1 any",103
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","1 any",82
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dones","1 any",93
2020,1,"Ciutat Vella",1,"el Raval","Dones","2 anys",214
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","2 anys",53
2020,1,"Ciutat Vella",3,"la Barceloneta","Dones","2 anys",48
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","2 anys",74
2020,2,"Eixample",5,"el Fort Pienc","Dones","2 anys",120
2020,2,"Eixample",6,"la Sagrada Família","Dones","2 anys",181
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dones","2 anys",143
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","2 anys",148
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","2 anys",218
2020,2,"Eixample",10,"Sant Antoni","Dones","2 anys",123
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","2 anys",148
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","2 anys",5
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","2 anys",123
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","2 anys",26
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","2 anys",63
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dones","2 anys",76
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","2 anys",90
2020,3,"Sants-Montjuïc",18,"Sants","Dones","2 anys",167
2020,4,"Les Corts",19,"les Corts","Dones","2 anys",181
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","2 anys",91
2020,4,"Les Corts",21,"Pedralbes","Dones","2 anys",37
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","2 anys",26
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","2 anys",124
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","2 anys",79
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","2 anys",96
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","2 anys",204
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","2 anys",148
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","2 anys",63
2020,6,"Gràcia",29,"el Coll","Dones","2 anys",25
2020,6,"Gràcia",30,"la Salut","Dones","2 anys",47
2020,6,"Gràcia",31,"la Vila de Gràcia","Dones","2 anys",191
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","2 anys",140
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","2 anys",96
2020,7,"Horta-Guinardó",34,"Can Baró","Dones","2 anys",39
2020,7,"Horta-Guinardó",35,"el Guinardó","Dones","2 anys",153
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","2 anys",34
2020,7,"Horta-Guinardó",37,"el Carmel","Dones","2 anys",130
2020,7,"Horta-Guinardó",38,"la Teixonera","Dones","2 anys",44
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","2 anys",31
2020,7,"Horta-Guinardó",40,"Montbau","Dones","2 anys",16
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","2 anys",16
2020,7,"Horta-Guinardó",42,"la Clota","Dones","2 anys",4
2020,7,"Horta-Guinardó",43,"Horta","Dones","2 anys",114
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","2 anys",112
2020,8,"Nou Barris",45,"Porta","Dones","2 anys",123
2020,8,"Nou Barris",46,"el Turó de la Peira","Dones","2 anys",82
2020,8,"Nou Barris",47,"Can Peguera","Dones","2 anys",7
2020,8,"Nou Barris",48,"la Guineueta","Dones","2 anys",44
2020,8,"Nou Barris",49,"Canyelles","Dones","2 anys",15
2020,8,"Nou Barris",50,"les Roquetes","Dones","2 anys",74
2020,8,"Nou Barris",51,"Verdun","Dones","2 anys",40
2020,8,"Nou Barris",52,"la Prosperitat","Dones","2 anys",103
2020,8,"Nou Barris",53,"la Trinitat Nova","Dones","2 anys",33
2020,8,"Nou Barris",54,"Torre Baró","Dones","2 anys",8
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dones","2 anys",50
2020,8,"Nou Barris",56,"Vallbona","Dones","2 anys",8
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dones","2 anys",63
2020,9,"Sant Andreu",58,"Baró de Viver","Dones","2 anys",11
2020,9,"Sant Andreu",59,"el Bon Pastor","Dones","2 anys",63
2020,9,"Sant Andreu",60,"Sant Andreu","Dones","2 anys",234
2020,9,"Sant Andreu",61,"la Sagrera","Dones","2 anys",100
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","2 anys",53
2020,9,"Sant Andreu",63,"Navas","Dones","2 anys",85
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","2 anys",163
2020,10,"Sant Martí",65,"el Clot","Dones","2 anys",85
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","2 anys",80
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","2 anys",35
2020,10,"Sant Martí",68,"el Poblenou","Dones","2 anys",146
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","2 anys",55
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","2 anys",122
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dones","2 anys",85
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","2 anys",88
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dones","2 anys",118
2020,1,"Ciutat Vella",1,"el Raval","Dones","3 anys",203
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","3 anys",47
2020,1,"Ciutat Vella",3,"la Barceloneta","Dones","3 anys",40
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","3 anys",56
2020,2,"Eixample",5,"el Fort Pienc","Dones","3 anys",118
2020,2,"Eixample",6,"la Sagrada Família","Dones","3 anys",194
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dones","3 anys",166
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","3 anys",137
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","3 anys",197
2020,2,"Eixample",10,"Sant Antoni","Dones","3 anys",126
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","3 anys",162
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","3 anys",9
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","3 anys",108
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","3 anys",28
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","3 anys",54
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dones","3 anys",66
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","3 anys",76
2020,3,"Sants-Montjuïc",18,"Sants","Dones","3 anys",160
2020,4,"Les Corts",19,"les Corts","Dones","3 anys",195
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","3 anys",95
2020,4,"Les Corts",21,"Pedralbes","Dones","3 anys",47
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","3 anys",26
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","3 anys",131
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","3 anys",96
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","3 anys",120
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","3 anys",210
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","3 anys",119
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","3 anys",70
2020,6,"Gràcia",29,"el Coll","Dones","3 anys",32
2020,6,"Gràcia",30,"la Salut","Dones","3 anys",47
2020,6,"Gràcia",31,"la Vila de Gràcia","Dones","3 anys",194
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","3 anys",148
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","3 anys",85
2020,7,"Horta-Guinardó",34,"Can Baró","Dones","3 anys",36
2020,7,"Horta-Guinardó",35,"el Guinardó","Dones","3 anys",156
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","3 anys",42
2020,7,"Horta-Guinardó",37,"el Carmel","Dones","3 anys",125
2020,7,"Horta-Guinardó",38,"la Teixonera","Dones","3 anys",46
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","3 anys",28
2020,7,"Horta-Guinardó",40,"Montbau","Dones","3 anys",15
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","3 anys",20
2020,7,"Horta-Guinardó",42,"la Clota","Dones","3 anys",2
2020,7,"Horta-Guinardó",43,"Horta","Dones","3 anys",123
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","3 anys",94
2020,8,"Nou Barris",45,"Porta","Dones","3 anys",113
2020,8,"Nou Barris",46,"el Turó de la Peira","Dones","3 anys",71
2020,8,"Nou Barris",47,"Can Peguera","Dones","3 anys",9
2020,8,"Nou Barris",48,"la Guineueta","Dones","3 anys",60
2020,8,"Nou Barris",49,"Canyelles","Dones","3 anys",25
2020,8,"Nou Barris",50,"les Roquetes","Dones","3 anys",83
2020,8,"Nou Barris",51,"Verdun","Dones","3 anys",61
2020,8,"Nou Barris",52,"la Prosperitat","Dones","3 anys",100
2020,8,"Nou Barris",53,"la Trinitat Nova","Dones","3 anys",39
2020,8,"Nou Barris",54,"Torre Baró","Dones","3 anys",21
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dones","3 anys",71
2020,8,"Nou Barris",56,"Vallbona","Dones","3 anys",8
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dones","3 anys",48
2020,9,"Sant Andreu",58,"Baró de Viver","Dones","3 anys",17
2020,9,"Sant Andreu",59,"el Bon Pastor","Dones","3 anys",56
2020,9,"Sant Andreu",60,"Sant Andreu","Dones","3 anys",251
2020,9,"Sant Andreu",61,"la Sagrera","Dones","3 anys",112
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","3 anys",59
2020,9,"Sant Andreu",63,"Navas","Dones","3 anys",80
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","3 anys",151
2020,10,"Sant Martí",65,"el Clot","Dones","3 anys",92
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","3 anys",70
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","3 anys",42
2020,10,"Sant Martí",68,"el Poblenou","Dones","3 anys",170
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","3 anys",82
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","3 anys",117
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dones","3 anys",89
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","3 anys",88
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dones","3 anys",112
