physiological,safety,belonging,esteem,wealth,actions
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1292.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.7, 0.31818639480316885, 0.3, 0.3]","[0.7, 0.4411469215450543, 0.7, 0.6918463957533131]","[0.3, 0.6440173382608674, 0.3]","[0.3, 0.3747912905555952, 0.7]",1010970.0083333334,
"[0.3, 0.7, 0.7, 0.7]","[0.7, 0.40453399653742234, 0.4143277011892833, 0.7]","[0.5966748696455619, 0.7, 0.3]","[0.7, 0.42625515830897087, 0.3]",1108689.6583333332,
"[0.7, 0.7, 0.31004356580084425, 0.7]","[0.3, 0.7, 0.7, 0.7]","[0.5733621711556388, 0.3, 0.7]","[0.3, 0.3, 0.7]",3964.7,
"[0.4667478026878811, 0.3727158475036243, 0.7, 0.4697284973605852]","[0.5490765681728123, 0.7, 0.6375033942966851, 0.7]","[0.3, 0.3, 0.7]","[0.3, 0.3, 0.7]",1992.1666666666667,
"[0.7, 0.3, 0.7, 0.7]","[0.6748137975649059, 0.7, 0.7, 0.7]","[0.7, 0.6079102223828048, 0.3]","[0.7, 0.7, 0.44087334559542496]",790220.0083333334,
"[0.38, 0.786367755322852, 0.64, 0.297]","[0.73, 0.8529175372360435, 0.96, 0.48429247702731915]","[0.33999999999999997, 0.9508121367826071, 0.67]","[0.367, 0.8560517260278154, 0.995]",1010970.0083333334,go_home
"[0.22, 1.0, 0.96, 0.693]","[0.73, 0.8236271972299378, 0.7314621609514267, 0.48999999999999994]","[0.5773398957164496, 0.99, 0.67]","[0.723, 0.9049424003935223, 0.655]",1108689.6583333332,go_home
"[0.38, 1.0, 0.6480348526406754, 0.693]","[0.37, 1.0, 0.96, 0.48999999999999994]","[0.5586897369245111, 0.71, 1.0]","[0.367, 0.7849999999999999, 0.995]",3964.7,go_home
"[0.28669912107515244, 0.8354442627532619, 0.96, 0.46503121238697936]","[0.5941689113555311, 1.0, 0.9100027154373481, 0.48999999999999994]","[0.33999999999999997, 0.71, 1.0]","[0.367, 0.7849999999999999, 0.995]",1992.1666666666667,go_home
"[0.38, 0.77, 0.96, 0.693]","[0.7073324178084153, 1.0, 0.96, 0.48999999999999994]","[0.6599999999999999, 0.9255371556679634, 0.67]","[0.723, 1.0, 0.7747423437561112]",790220.0083333334,go_home
